year,name,URLs
2017,SMZDM UI Clone Demo,"[""https://www.hrjlhy.com/smzdm.html""]"
2017,Personal Portfolio v1.0,"[""https://www.hrjlhy.com/index_old_2025-08-09.html""]"
2017,Smart Insurance Marketing System (mobile),"[""https://www.hrjlhy.com/zhyx/index.html"", ""https://www.hrjlhy.com/zhyx/daily_form.html"", ""https://www.hrjlhy.com/zhyx/form_integrate.html"", ""https://www.hrjlhy.com/zhyx/form_personnel.html"", ""https://www.hrjlhy.com/zhyx/tags_add.html"", ""https://www.hrjlhy.com/zhyx/fail.html"", ""https://www.hrjlhy.com/zhyx/myClient_s.html"", ""https://www.hrjlhy.com/zhyx/news.html"", ""https://www.hrjlhy.com/zhyx/orderdetails.html"", ""https://www.hrjlhy.com/zhyx/phoneBook.html"", ""https://www.hrjlhy.com/zhyx/questionnaire.html"", ""https://www.hrjlhy.com/zhyx/touchTrack.html""]"
2017,Insurance Content Publishing Platform (mobile),"[""https://www.hrjlhy.com/Content%20Marketing/html/views/my.html"", ""https://www.hrjlhy.com/Content%20Marketing/html/views/essay.html"", ""https://www.hrjlhy.com/Content%20Marketing/html/views/public.html"", ""https://www.hrjlhy.com/Content%20Marketing/html/views/share.html"", ""https://www.hrjlhy.com/Content%20Marketing/html/views/detail.html"", ""https://www.hrjlhy.com/Content%20Marketing/html/views/edit.html"", ""https://www.hrjlhy.com/Content%20Marketing/html/views/edit_b.html"", ""https://www.hrjlhy.com/Content%20Marketing/html/views/edit_c.html""]"
2017,Hongkang Life Insurance Materials (mobile),"[""https://www.hrjlhy.com/Hong%20kang%20Insurance/text(1).html"", ""https://www.hrjlhy.com/Hong%20kang%20Insurance/text(2).html"", ""https://www.hrjlhy.com/Hong%20kang%20Insurance/text(3).html"", ""https://www.hrjlhy.com/Hong%20kang%20Insurance/text(4).html"", ""https://www.hrjlhy.com/Hong%20kang%20Insurance/text(5).html"", ""https://www.hrjlhy.com/Hong%20kang%20Insurance/text(6).html""]"
2018,Huaxia Insurance Application Portal (mobile),"[""https://www.hrjlhy.com/Huaxia%20Insure/inform.html"", ""https://www.hrjlhy.com/Huaxia%20Insure/pay_finish.html"", ""https://www.hrjlhy.com/Huaxia%20Insure/customerinfo.html"", ""https://www.hrjlhy.com/Huaxia%20Insure/complete.html"", ""https://www.hrjlhy.com/Huaxia%20Insure/confirminfo.html"", ""https://www.hrjlhy.com/Huaxia%20Insure/confirminfo_other.html"", ""https://www.hrjlhy.com/Huaxia%20Insure/plan.html"", ""https://www.hrjlhy.com/Huaxia%20Insure/tranfer_fee.html"", ""https://www.hrjlhy.com/Huaxia%20Insure/tranfer_fee_err.html"", ""https://www.hrjlhy.com/Huaxia%20Insure/add_bank_card.html""]"
2018,Micro Class Agent Training Platform (mobile),"[""https://www.hrjlhy.com/Micro%20Class/views/group_manage/add_member.html"", ""https://www.hrjlhy.com/Micro%20Class/views/group_manage/cut_member.html"", ""https://www.hrjlhy.com/Micro%20Class/views/group_manage/group_manage.html"", ""https://www.hrjlhy.com/Micro%20Class/views/group_manage/group_member.html"", ""https://www.hrjlhy.com/Micro%20Class/views/group_manage/new_group.html"", ""https://www.hrjlhy.com/Micro%20Class/views/group_manage/revise_meet.html"", ""https://www.hrjlhy.com/Micro%20Class/views/marketing_zone/article_increase.html"", ""https://www.hrjlhy.com/Micro%20Class/views/meeting_manage/launchmeeting.html"", ""https://www.hrjlhy.com/Micro%20Class/views/meeting_manage/launchmeeting_data.html"", ""https://www.hrjlhy.com/Micro%20Class/views/meeting_manage/launchmeeting_list.html"", ""https://www.hrjlhy.com/Micro%20Class/views/meeting_manage/meetinglist.html"", ""https://www.hrjlhy.com/Micro%20Class/views/meeting_manage/meetingsum.html"", ""https://www.hrjlhy.com/Micro%20Class/views/mine/member_manage.html"", ""https://www.hrjlhy.com/Micro%20Class/views/mine/mine.html"", ""https://www.hrjlhy.com/Micro%20Class/views/online_learning/course_details.html"", ""https://www.hrjlhy.com/Micro%20Class/views/online_learning/information.html"", ""https://www.hrjlhy.com/Micro%20Class/views/online_learning/school.html"", ""https://www.hrjlhy.com/Micro%20Class/views/online_signup/bindfail.html"", ""https://www.hrjlhy.com/Micro%20Class/views/online_signup/bindsuccess.html"", ""https://www.hrjlhy.com/Micro%20Class/views/online_signup/enterprise.html"", ""https://www.hrjlhy.com/Micro%20Class/views/online_signup/fail.html"", ""https://www.hrjlhy.com/Micro%20Class/views/online_signup/signup.html"", ""https://www.hrjlhy.com/Micro%20Class/views/online_signup/success.html"", ""https://www.hrjlhy.com/Micro%20Class/views/online_signup/success_next.html"", ""https://www.hrjlhy.com/Micro%20Class/views/schedule/examfail.html"", ""https://www.hrjlhy.com/Micro%20Class/views/schedule/examsuccess.html"", ""https://www.hrjlhy.com/Micro%20Class/views/schedule/schedule.html""]"
2018,Love & Peace Life Insurance Portal,"[""https://www.hrjlhy.com/Love&Peace%20Life%20Insurance/index.html""]"
2018,Windows 10 UI Clone Demo,"[""https://www.hrjlhy.com/win10.html""]"
2019,Insurance Lottery Campaign (mobile),"[""https://www.hrjlhy.com/Lottery%20turntable/turntable_draw.html""]"
2019,"""Along with Love"" Campaign (mobile)","[""https://www.hrjlhy.com/Along%20with%20Love/withLove.html""]"
2019,Health Food Story Page,"[""https://www.hrjlhy.com/homework/190528/story.html""]"
2019,Huaxia Online Insurance Website,"[""https://www.hrjlhy.com/Huaxia%20Online/html/index.html"", ""https://www.hrjlhy.com/Huaxia%20Online/html/contact.html"", ""https://www.hrjlhy.com/Huaxia%20Online/html/information.html"", ""https://www.hrjlhy.com/Huaxia%20Online/html/introduct.html"", ""https://www.hrjlhy.com/Huaxia%20Online/html/organise.html""]"
2019,HR Association Sign-In Pages,"[""https://www.hrjlhy.com/Beijing%20Human%20Resource%20Service%20Industry%20Association/sign_in(1).html"", ""https://www.hrjlhy.com/Beijing%20Human%20Resource%20Service%20Industry%20Association/sign_in(2).html"", ""https://www.hrjlhy.com/Beijing%20Human%20Resource%20Service%20Industry%20Association/sign_in(3).html"", ""https://www.hrjlhy.com/Beijing%20Human%20Resource%20Service%20Industry%20Association/sign_in(4).html""]"
2019,Sales Support System Interface,"[""https://www.hrjlhy.com/Sales%20Support%20System/system.html""]"
2020,Hunan Insurance Agent Portal (mobile),"[""https://www.hrjlhy.com/Hunan/invitation.html"", ""https://www.hrjlhy.com/Hunan/questionnaire.html"", ""https://www.hrjlhy.com/Hunan/reportindex.html"", ""https://www.hrjlhy.com/Hunan/sheet.html"", ""https://www.hrjlhy.com/Hunan/thanks.html""]"
2020,Fullgold Bonus Claim Pages (mobile),"[""https://www.hrjlhy.com/fullgold_receive/identity_verification_fullgold.html"", ""https://www.hrjlhy.com/fullgold_receive/receive_verification_fullgold.html""]"
2020,Dragon Summit Event Registration (mobile),"[""https://www.hrjlhy.com/Dragon%20Summit/summit_personal.html""]"
2020,Aviva-Cofco Life Insurance Notifications,"[""https://www.hrjlhy.com/Aviva-Cofco%20Life%20Insurance/notification1.html"", ""https://www.hrjlhy.com/Aviva-Cofco%20Life%20Insurance/notification2.html"", ""https://www.hrjlhy.com/Aviva-Cofco%20Life%20Insurance/notification3.html""]"
2020,Huaxia Premium Product Showcase,"[""https://www.hrjlhy.com/Huaxia%20Premium%20Big%20Show/index.html""]"
2020,<Duolingo English Proficiency Report>,"[""https://www.hrjlhy.com/new_080725/Duolingo English Test.pdf""]"
2021,Todo List Web App (mobile),"[""https://www.hrjlhy.com/7-26-interview/""]"
2021,<TOEFL English Score Report>,"[""https://www.hrjlhy.com/new_080725/ETOEFL Candidate Details.pdf""]"
2021,<Impact of Mask-Wearing on Scarlet Fever in Hong Kong: A Pre- and Post-COVID Study>,"[""https://www.hrjlhy.com/new_080725/A perspective of mask wearing before and after the outbreak of COVID-19 and its effect on Scarlet Fever , Hong Kong.pdf""]"
2021,<Big Data Group Project Report>,"[""https://www.hrjlhy.com/new_080725/Hong Kong Baptist University COMP 7950 Group Project (2021) Team 2.pdf""]"
2022,<Chatbot System Implementation Report>,"[""https://www.hrjlhy.com/new_080725/Artificial Intelligence Chatbot system.pdf""]"
2022,<Graph Neural Network Implementation Report>,"[""https://www.hrjlhy.com/new_080725/Graph Neural Network.pdf""]"
2022,English Learning & Evaluation Web App,"[""https://www.hrjlhy.com/edu/""]"
2023,DICOM-Enabled Remote Surgical Assistance Platform,"[""https://www.hrjlhy.com/surgical/""]"
2023,Real-time 3D Cube Demo,"[""https://www.hrjlhy.com/3Dcube/""]"
2023,Engagement Ring Configurator System,"[""https://rauschmayer.com/en/engagement/""]"
2024,Rea-time Ray tracing Demo,"[""https://www.hrjlhy.com/new_080725/pocketpt_webgpu_wgsl_one_file_070825.html""]"
2024,"<OCR Accuracy Comparison Report: GPT-4o, Tesseract & Others>","[""https://www.hrjlhy.com/new_080725/OCR Accuracy Report.pdf""]"
2024,Automatic answer grading system,"[""https://www.hrjlhy.com/grader/""]"
2025,Tic-tac-toe Game,"[""https://www.hrjlhy.com/ttt/index.html""]"
2025,Who Is the AI Game,"[""https://www.hrjlhy.com/WhoIsTheAI/""]"
2025,Personal Portfolio v2.0,"[""https://www.hrjlhy.com/""]"
2025,WebGPU-Based 3D GIS Real Estate Dashboard,"[""https://github.com/hrjlhy123/3D-map/""]"
